clip_id,fake_label,method,type,rel_path,filename,speaker_id
fav_id03668_id01210_00143_id01210_sMdOO7NqsGY,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (American)/men/id03668/00143_id01210_sMdOO7NqsGY.mp4,00143_id01210_sMdOO7NqsGY.mp4,id03668
fav_id04070_id02619_00072_id02619_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id04070/00072_id02619_wavtolip.mp4,00072_id02619_wavtolip.mp4,id04070
fav_id01156_id00415_00078_id00415_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/men/id01156/00078_id00415_wavtolip.mp4,00078_id00415_wavtolip.mp4,id01156
fav_id00241_id00063_00015_id00063_cVZBXC2rjPM,1,fsgan,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/men/id00241/00015_id00063_cVZBXC2rjPM.mp4,00015_id00063_cVZBXC2rjPM.mp4,id00241
fav_id00581_id00826_00010_id00826_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/women/id00581/00010_id00826_wavtolip.mp4,00010_id00826_wavtolip.mp4,id00581
fav_id00835_00195,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/women/id00835/00195.mp4,00195.mp4,id00835
fav_id05252_00052,0,real,RealVideo-RealAudio,RealVideo-RealAudio/African/women/id05252/00052.mp4,00052.mp4,id05252
fav_id00270_id00234_00088_id00234_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Caucasian (European)/women/id00270/00088_id00234_wavtolip.mp4,00088_id00234_wavtolip.mp4,id00270
fav_id00581_00010,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (European)/women/id00581/00010.mp4,00010.mp4,id00581
fav_id06427_id06060_00138_id06060_wavtolip,1,wav2lip,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (East)/women/id06427/00138_id06060_wavtolip.mp4,00138_id06060_wavtolip.mp4,id06427
fav_id00616_00305,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/women/id00616/00305.mp4,00305.mp4,id00616
fav_id02464_00002,0,real,RealVideo-RealAudio,RealVideo-RealAudio/Caucasian (American)/women/id02464/00002.mp4,00002.mp4,id02464
fav_id07078_0.mp4_00405_0,1,faceswap,FakeVideo-RealAudio,FakeVideo-RealAudio/Asian (South)/women/id07078/00405_0.mp4,00405_0.mp4,id07078
