clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
Zs8x712Y-CM_009,mosei_real,0,mosei_Zs8x712Y-CM_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Zs8x712Y-CM_009.mp4,data\preprocessed\features\z_at\Zs8x712Y-CM_009.pt,data\preprocessed\features\z_v\Zs8x712Y-CM_009.pt
Zs8x712Y-CM_010,mosei_real,0,mosei_Zs8x712Y-CM_010,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Zs8x712Y-CM_010.mp4,data\preprocessed\features\z_at\Zs8x712Y-CM_010.pt,data\preprocessed\features\z_v\Zs8x712Y-CM_010.pt
Zs8x712Y-CM_011,mosei_real,0,mosei_Zs8x712Y-CM_011,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Zs8x712Y-CM_011.mp4,data\preprocessed\features\z_at\Zs8x712Y-CM_011.pt,data\preprocessed\features\z_v\Zs8x712Y-CM_011.pt
_1nvuNk7EFY_001,mosei_real,0,mosei__1nvuNk7EFY_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_1nvuNk7EFY_001.mp4,data\preprocessed\features\z_at\_1nvuNk7EFY_001.pt,data\preprocessed\features\z_v\_1nvuNk7EFY_001.pt
_1nvuNk7EFY_003,mosei_real,0,mosei__1nvuNk7EFY_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_1nvuNk7EFY_003.mp4,data\preprocessed\features\z_at\_1nvuNk7EFY_003.pt,data\preprocessed\features\z_v\_1nvuNk7EFY_003.pt
_1nvuNk7EFY_005,mosei_real,0,mosei__1nvuNk7EFY_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_1nvuNk7EFY_005.mp4,data\preprocessed\features\z_at\_1nvuNk7EFY_005.pt,data\preprocessed\features\z_v\_1nvuNk7EFY_005.pt
_1nvuNk7EFY_007,mosei_real,0,mosei__1nvuNk7EFY_007,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_1nvuNk7EFY_007.mp4,data\preprocessed\features\z_at\_1nvuNk7EFY_007.pt,data\preprocessed\features\z_v\_1nvuNk7EFY_007.pt
_1nvuNk7EFY_010,mosei_real,0,mosei__1nvuNk7EFY_010,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_1nvuNk7EFY_010.mp4,data\preprocessed\features\z_at\_1nvuNk7EFY_010.pt,data\preprocessed\features\z_v\_1nvuNk7EFY_010.pt
_1nvuNk7EFY_011,mosei_real,0,mosei__1nvuNk7EFY_011,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_1nvuNk7EFY_011.mp4,data\preprocessed\features\z_at\_1nvuNk7EFY_011.pt,data\preprocessed\features\z_v\_1nvuNk7EFY_011.pt
_BMdEKNF5Js_000,mosei_real,0,mosei__BMdEKNF5Js_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\_BMdEKNF5Js_000.mp4,data\preprocessed\features\z_at\_BMdEKNF5Js_000.pt,data\preprocessed\features\z_v\_BMdEKNF5Js_000.pt
