clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
train_dia797_utt12,meld_real,0,meld_Monica,sadness,sadness,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia797_utt12.mp4,data\preprocessed\features\z_at\train_dia797_utt12.pt,data\preprocessed\features\z_v\train_dia797_utt12.pt
train_dia797_utt4,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia797_utt4.mp4,data\preprocessed\features\z_at\train_dia797_utt4.pt,data\preprocessed\features\z_v\train_dia797_utt4.pt
train_dia797_utt8,meld_real,0,meld_Monica,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia797_utt8.mp4,data\preprocessed\features\z_at\train_dia797_utt8.pt,data\preprocessed\features\z_v\train_dia797_utt8.pt
train_dia799_utt4,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia799_utt4.mp4,data\preprocessed\features\z_at\train_dia799_utt4.pt,data\preprocessed\features\z_v\train_dia799_utt4.pt
train_dia79_utt2,meld_real,0,meld_Joey,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia79_utt2.mp4,data\preprocessed\features\z_at\train_dia79_utt2.pt,data\preprocessed\features\z_v\train_dia79_utt2.pt
train_dia79_utt7,meld_real,0,meld_Joey,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia79_utt7.mp4,data\preprocessed\features\z_at\train_dia79_utt7.pt,data\preprocessed\features\z_v\train_dia79_utt7.pt
train_dia801_utt0,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia801_utt0.mp4,data\preprocessed\features\z_at\train_dia801_utt0.pt,data\preprocessed\features\z_v\train_dia801_utt0.pt
train_dia801_utt2,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia801_utt2.mp4,data\preprocessed\features\z_at\train_dia801_utt2.pt,data\preprocessed\features\z_v\train_dia801_utt2.pt
train_dia801_utt4,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia801_utt4.mp4,data\preprocessed\features\z_at\train_dia801_utt4.pt,data\preprocessed\features\z_v\train_dia801_utt4.pt
train_dia802_utt0,meld_real,0,meld_Ross,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia802_utt0.mp4,data\preprocessed\features\z_at\train_dia802_utt0.pt,data\preprocessed\features\z_v\train_dia802_utt0.pt
train_dia802_utt1,meld_real,0,meld_Phoebe,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia802_utt1.mp4,data\preprocessed\features\z_at\train_dia802_utt1.pt,data\preprocessed\features\z_v\train_dia802_utt1.pt
train_dia803_utt1,meld_real,0,meld_Rachel,sadness,sadness,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia803_utt1.mp4,data\preprocessed\features\z_at\train_dia803_utt1.pt,data\preprocessed\features\z_v\train_dia803_utt1.pt
train_dia803_utt3,meld_real,0,meld_Monica,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia803_utt3.mp4,data\preprocessed\features\z_at\train_dia803_utt3.pt,data\preprocessed\features\z_v\train_dia803_utt3.pt
train_dia803_utt5,meld_real,0,meld_Monica,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia803_utt5.mp4,data\preprocessed\features\z_at\train_dia803_utt5.pt,data\preprocessed\features\z_v\train_dia803_utt5.pt
train_dia803_utt6,meld_real,0,meld_Chandler,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia803_utt6.mp4,data\preprocessed\features\z_at\train_dia803_utt6.pt,data\preprocessed\features\z_v\train_dia803_utt6.pt
train_dia804_utt3,meld_real,0,meld_Mr._Treeger,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia804_utt3.mp4,data\preprocessed\features\z_at\train_dia804_utt3.pt,data\preprocessed\features\z_v\train_dia804_utt3.pt
train_dia804_utt6,meld_real,0,meld_Mr._Treeger,disgust,disgust,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia804_utt6.mp4,data\preprocessed\features\z_at\train_dia804_utt6.pt,data\preprocessed\features\z_v\train_dia804_utt6.pt
train_dia804_utt7,meld_real,0,meld_Mr._Treeger,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia804_utt7.mp4,data\preprocessed\features\z_at\train_dia804_utt7.pt,data\preprocessed\features\z_v\train_dia804_utt7.pt
train_dia805_utt4,meld_real,0,meld_Ross,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia805_utt4.mp4,data\preprocessed\features\z_at\train_dia805_utt4.pt,data\preprocessed\features\z_v\train_dia805_utt4.pt
train_dia806_utt10,meld_real,0,meld_Rachel,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia806_utt10.mp4,data\preprocessed\features\z_at\train_dia806_utt10.pt,data\preprocessed\features\z_v\train_dia806_utt10.pt
train_dia806_utt16,meld_real,0,meld_Joey,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia806_utt16.mp4,data\preprocessed\features\z_at\train_dia806_utt16.pt,data\preprocessed\features\z_v\train_dia806_utt16.pt
train_dia806_utt3,meld_real,0,meld_Joey,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia806_utt3.mp4,data\preprocessed\features\z_at\train_dia806_utt3.pt,data\preprocessed\features\z_v\train_dia806_utt3.pt
train_dia806_utt5,meld_real,0,meld_Joey,sadness,sadness,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia806_utt5.mp4,data\preprocessed\features\z_at\train_dia806_utt5.pt,data\preprocessed\features\z_v\train_dia806_utt5.pt
train_dia806_utt9,meld_real,0,meld_Joey,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia806_utt9.mp4,data\preprocessed\features\z_at\train_dia806_utt9.pt,data\preprocessed\features\z_v\train_dia806_utt9.pt
train_dia807_utt0,meld_real,0,meld_Rachel,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia807_utt0.mp4,data\preprocessed\features\z_at\train_dia807_utt0.pt,data\preprocessed\features\z_v\train_dia807_utt0.pt
train_dia808_utt6,meld_real,0,meld_Chandler,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia808_utt6.mp4,data\preprocessed\features\z_at\train_dia808_utt6.pt,data\preprocessed\features\z_v\train_dia808_utt6.pt
train_dia809_utt11,meld_real,0,meld_Joey,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia809_utt11.mp4,data\preprocessed\features\z_at\train_dia809_utt11.pt,data\preprocessed\features\z_v\train_dia809_utt11.pt
train_dia809_utt14,meld_real,0,meld_Chandler,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia809_utt14.mp4,data\preprocessed\features\z_at\train_dia809_utt14.pt,data\preprocessed\features\z_v\train_dia809_utt14.pt
train_dia809_utt2,meld_real,0,meld_Joey,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\train\train_splits\dia809_utt2.mp4,data\preprocessed\features\z_at\train_dia809_utt2.pt,data\preprocessed\features\z_v\train_dia809_utt2.pt
