clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
2_205,mustard,-1,mustard_RACHEL,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_205.mp4,data\preprocessed\features\z_at\2_205.pt,data\preprocessed\features\z_v\2_205.pt
2_206,mustard,-1,mustard_CHANDLER,,,1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_206.mp4,data\preprocessed\features\z_at\2_206.pt,data\preprocessed\features\z_v\2_206.pt
2_208,mustard,-1,mustard_JOEY,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_208.mp4,data\preprocessed\features\z_at\2_208.pt,data\preprocessed\features\z_v\2_208.pt
2_210,mustard,-1,mustard_PERSON,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_210.mp4,data\preprocessed\features\z_at\2_210.pt,data\preprocessed\features\z_v\2_210.pt
2_213,mustard,-1,mustard_RACHEL,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_213.mp4,data\preprocessed\features\z_at\2_213.pt,data\preprocessed\features\z_v\2_213.pt
2_217,mustard,-1,mustard_RACHEL,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_217.mp4,data\preprocessed\features\z_at\2_217.pt,data\preprocessed\features\z_v\2_217.pt
2_218,mustard,-1,mustard_JOEY,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_218.mp4,data\preprocessed\features\z_at\2_218.pt,data\preprocessed\features\z_v\2_218.pt
2_221,mustard,-1,mustard_CHANDLER,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_221.mp4,data\preprocessed\features\z_at\2_221.pt,data\preprocessed\features\z_v\2_221.pt
2_223,mustard,-1,mustard_CHANDLER,,,1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_223.mp4,data\preprocessed\features\z_at\2_223.pt,data\preprocessed\features\z_v\2_223.pt
2_225,mustard,-1,mustard_ROSS,,,0,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\MUStARD\raw_data\utterances_final\2_225.mp4,data\preprocessed\features\z_at\2_225.pt,data\preprocessed\features\z_v\2_225.pt
