clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
FAKE_T1_1001_DFA_ANG_XX__AUDIO_1001_DFA_DIS_XX_styletts,track1,1,crema_1001,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_DFA_ANG_XX__AUDIO_1001_DFA_DIS_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_DFA_ANG_XX__AUDIO_1001_DFA_DIS_XX_styletts.pt
FAKE_T1_1001_DFA_FEA_XX__AUDIO_1001_DFA_HAP_XX_styletts,track1,1,crema_1001,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_DFA_FEA_XX__AUDIO_1001_DFA_HAP_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_DFA_FEA_XX__AUDIO_1001_DFA_HAP_XX_styletts.pt
FAKE_T1_1001_DFA_NEU_XX__AUDIO_1001_DFA_SAD_XX_styletts,track1,1,crema_1001,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_DFA_NEU_XX__AUDIO_1001_DFA_SAD_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_DFA_NEU_XX__AUDIO_1001_DFA_SAD_XX_styletts.pt
FAKE_T1_1001_IEO_NEU_XX__AUDIO_1001_IEO_SAD_HI_styletts,track1,1,crema_1001,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_IEO_NEU_XX__AUDIO_1001_IEO_SAD_HI_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_IEO_NEU_XX__AUDIO_1001_IEO_SAD_HI_styletts.pt
FAKE_T1_1001_IOM_FEA_XX__AUDIO_1001_IOM_HAP_XX_styletts,track1,1,crema_1001,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_IOM_FEA_XX__AUDIO_1001_IOM_HAP_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_IOM_FEA_XX__AUDIO_1001_IOM_HAP_XX_styletts.pt
FAKE_T1_1001_IOM_NEU_XX__AUDIO_1001_IOM_SAD_XX_styletts,track1,1,crema_1001,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_IOM_NEU_XX__AUDIO_1001_IOM_SAD_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_IOM_NEU_XX__AUDIO_1001_IOM_SAD_XX_styletts.pt
FAKE_T1_1001_IOM_SAD_XX__AUDIO_1001_IOM_ANG_XX_styletts,track1,1,crema_1001,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_IOM_SAD_XX__AUDIO_1001_IOM_ANG_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_IOM_SAD_XX__AUDIO_1001_IOM_ANG_XX_styletts.pt
FAKE_T1_1001_ITH_DIS_XX__AUDIO_1001_ITH_FEA_XX_styletts,track1,1,crema_1001,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_ITH_DIS_XX__AUDIO_1001_ITH_FEA_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_ITH_DIS_XX__AUDIO_1001_ITH_FEA_XX_styletts.pt
FAKE_T1_1001_ITH_SAD_XX__AUDIO_1001_ITH_ANG_XX_styletts,track1,1,crema_1001,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_ITH_SAD_XX__AUDIO_1001_ITH_ANG_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_ITH_SAD_XX__AUDIO_1001_ITH_ANG_XX_styletts.pt
FAKE_T1_1001_IWL_ANG_XX__AUDIO_1001_IWL_DIS_XX_styletts,track1,1,crema_1001,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_IWL_ANG_XX__AUDIO_1001_IWL_DIS_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_IWL_ANG_XX__AUDIO_1001_IWL_DIS_XX_styletts.pt
FAKE_T1_1001_MTI_ANG_XX__AUDIO_1001_MTI_DIS_XX_styletts,track1,1,crema_1001,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_MTI_ANG_XX__AUDIO_1001_MTI_DIS_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_MTI_ANG_XX__AUDIO_1001_MTI_DIS_XX_styletts.pt
FAKE_T1_1001_MTI_NEU_XX__AUDIO_1001_MTI_SAD_XX_styletts,track1,1,crema_1001,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_MTI_NEU_XX__AUDIO_1001_MTI_SAD_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_MTI_NEU_XX__AUDIO_1001_MTI_SAD_XX_styletts.pt
FAKE_T1_1001_TAI_DIS_XX__AUDIO_1001_TAI_FEA_XX_styletts,track1,1,crema_1001,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_TAI_DIS_XX__AUDIO_1001_TAI_FEA_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_TAI_DIS_XX__AUDIO_1001_TAI_FEA_XX_styletts.pt
FAKE_T1_1001_TAI_HAP_XX__AUDIO_1001_TAI_NEU_XX_styletts,track1,1,crema_1001,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_TAI_HAP_XX__AUDIO_1001_TAI_NEU_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_TAI_HAP_XX__AUDIO_1001_TAI_NEU_XX_styletts.pt
FAKE_T1_1001_TAI_NEU_XX__AUDIO_1001_TAI_SAD_XX_styletts,track1,1,crema_1001,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_TAI_NEU_XX__AUDIO_1001_TAI_SAD_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_TAI_NEU_XX__AUDIO_1001_TAI_SAD_XX_styletts.pt
FAKE_T1_1001_TAI_SAD_XX__AUDIO_1001_TAI_ANG_XX_styletts,track1,1,crema_1001,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1001_TAI_SAD_XX__AUDIO_1001_TAI_ANG_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1001_TAI_SAD_XX__AUDIO_1001_TAI_ANG_XX_styletts.pt
FAKE_T1_1003_DFA_ANG_XX__AUDIO_1003_DFA_DIS_XX_styletts,track1,1,crema_1003,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1003_DFA_ANG_XX__AUDIO_1003_DFA_DIS_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1003_DFA_ANG_XX__AUDIO_1003_DFA_DIS_XX_styletts.pt
FAKE_T1_1003_DFA_HAP_XX__AUDIO_1003_DFA_NEU_XX_styletts,track1,1,crema_1003,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1003_DFA_HAP_XX__AUDIO_1003_DFA_NEU_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1003_DFA_HAP_XX__AUDIO_1003_DFA_NEU_XX_styletts.pt
FAKE_T1_1003_DFA_NEU_XX__AUDIO_1003_DFA_SAD_XX_styletts,track1,1,crema_1003,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T1_1003_DFA_NEU_XX__AUDIO_1003_DFA_SAD_XX_styletts.pt,data\preprocessed\features\z_v\FAKE_T1_1003_DFA_NEU_XX__AUDIO_1003_DFA_SAD_XX_styletts.pt
