clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
Q7nhtfkIPN4_006,mosei_real,0,mosei_Q7nhtfkIPN4_006,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Q7nhtfkIPN4_006.mp4,data\preprocessed\features\z_at\Q7nhtfkIPN4_006.pt,data\preprocessed\features\z_v\Q7nhtfkIPN4_006.pt
Q7nhtfkIPN4_007,mosei_real,0,mosei_Q7nhtfkIPN4_007,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Q7nhtfkIPN4_007.mp4,data\preprocessed\features\z_at\Q7nhtfkIPN4_007.pt,data\preprocessed\features\z_v\Q7nhtfkIPN4_007.pt
Q7nhtfkIPN4_009,mosei_real,0,mosei_Q7nhtfkIPN4_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Q7nhtfkIPN4_009.mp4,data\preprocessed\features\z_at\Q7nhtfkIPN4_009.pt,data\preprocessed\features\z_v\Q7nhtfkIPN4_009.pt
Q7nhtfkIPN4_010,mosei_real,0,mosei_Q7nhtfkIPN4_010,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Q7nhtfkIPN4_010.mp4,data\preprocessed\features\z_at\Q7nhtfkIPN4_010.pt,data\preprocessed\features\z_v\Q7nhtfkIPN4_010.pt
Q8naC1qriIU_002,mosei_real,0,mosei_Q8naC1qriIU_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\Q8naC1qriIU_002.mp4,data\preprocessed\features\z_at\Q8naC1qriIU_002.pt,data\preprocessed\features\z_v\Q8naC1qriIU_002.pt
QCR7uyowjhM_000,mosei_real,0,mosei_QCR7uyowjhM_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QCR7uyowjhM_000.mp4,data\preprocessed\features\z_at\QCR7uyowjhM_000.pt,data\preprocessed\features\z_v\QCR7uyowjhM_000.pt
QCR7uyowjhM_001,mosei_real,0,mosei_QCR7uyowjhM_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QCR7uyowjhM_001.mp4,data\preprocessed\features\z_at\QCR7uyowjhM_001.pt,data\preprocessed\features\z_v\QCR7uyowjhM_001.pt
QCR7uyowjhM_002,mosei_real,0,mosei_QCR7uyowjhM_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QCR7uyowjhM_002.mp4,data\preprocessed\features\z_at\QCR7uyowjhM_002.pt,data\preprocessed\features\z_v\QCR7uyowjhM_002.pt
QCR7uyowjhM_003,mosei_real,0,mosei_QCR7uyowjhM_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QCR7uyowjhM_003.mp4,data\preprocessed\features\z_at\QCR7uyowjhM_003.pt,data\preprocessed\features\z_v\QCR7uyowjhM_003.pt
QCR7uyowjhM_005,mosei_real,0,mosei_QCR7uyowjhM_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QCR7uyowjhM_005.mp4,data\preprocessed\features\z_at\QCR7uyowjhM_005.pt,data\preprocessed\features\z_v\QCR7uyowjhM_005.pt
QCR7uyowjhM_007,mosei_real,0,mosei_QCR7uyowjhM_007,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QCR7uyowjhM_007.mp4,data\preprocessed\features\z_at\QCR7uyowjhM_007.pt,data\preprocessed\features\z_v\QCR7uyowjhM_007.pt
QDRtKv8PvFs_000,mosei_real,0,mosei_QDRtKv8PvFs_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QDRtKv8PvFs_000.mp4,data\preprocessed\features\z_at\QDRtKv8PvFs_000.pt,data\preprocessed\features\z_v\QDRtKv8PvFs_000.pt
QDRtKv8PvFs_002,mosei_real,0,mosei_QDRtKv8PvFs_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QDRtKv8PvFs_002.mp4,data\preprocessed\features\z_at\QDRtKv8PvFs_002.pt,data\preprocessed\features\z_v\QDRtKv8PvFs_002.pt
QDRtKv8PvFs_003,mosei_real,0,mosei_QDRtKv8PvFs_003,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QDRtKv8PvFs_003.mp4,data\preprocessed\features\z_at\QDRtKv8PvFs_003.pt,data\preprocessed\features\z_v\QDRtKv8PvFs_003.pt
QDRtKv8PvFs_004,mosei_real,0,mosei_QDRtKv8PvFs_004,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QDRtKv8PvFs_004.mp4,data\preprocessed\features\z_at\QDRtKv8PvFs_004.pt,data\preprocessed\features\z_v\QDRtKv8PvFs_004.pt
QJCDZCllSYQ_000,mosei_real,0,mosei_QJCDZCllSYQ_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QJCDZCllSYQ_000.mp4,data\preprocessed\features\z_at\QJCDZCllSYQ_000.pt,data\preprocessed\features\z_v\QJCDZCllSYQ_000.pt
QLEOYF7Mju0_004,mosei_real,0,mosei_QLEOYF7Mju0_004,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QLEOYF7Mju0_004.mp4,data\preprocessed\features\z_at\QLEOYF7Mju0_004.pt,data\preprocessed\features\z_v\QLEOYF7Mju0_004.pt
QLEOYF7Mju0_008,mosei_real,0,mosei_QLEOYF7Mju0_008,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QLEOYF7Mju0_008.mp4,data\preprocessed\features\z_at\QLEOYF7Mju0_008.pt,data\preprocessed\features\z_v\QLEOYF7Mju0_008.pt
QLEOYF7Mju0_009,mosei_real,0,mosei_QLEOYF7Mju0_009,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QLEOYF7Mju0_009.mp4,data\preprocessed\features\z_at\QLEOYF7Mju0_009.pt,data\preprocessed\features\z_v\QLEOYF7Mju0_009.pt
QLEOYF7Mju0_010,mosei_real,0,mosei_QLEOYF7Mju0_010,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QLEOYF7Mju0_010.mp4,data\preprocessed\features\z_at\QLEOYF7Mju0_010.pt,data\preprocessed\features\z_v\QLEOYF7Mju0_010.pt
QLI-OnegxFM_000,mosei_real,0,mosei_QLI-OnegxFM_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QLI-OnegxFM_000.mp4,data\preprocessed\features\z_at\QLI-OnegxFM_000.pt,data\preprocessed\features\z_v\QLI-OnegxFM_000.pt
QMEgjkpyVzQ_000,mosei_real,0,mosei_QMEgjkpyVzQ_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QMEgjkpyVzQ_000.mp4,data\preprocessed\features\z_at\QMEgjkpyVzQ_000.pt,data\preprocessed\features\z_v\QMEgjkpyVzQ_000.pt
QMEgjkpyVzQ_001,mosei_real,0,mosei_QMEgjkpyVzQ_001,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QMEgjkpyVzQ_001.mp4,data\preprocessed\features\z_at\QMEgjkpyVzQ_001.pt,data\preprocessed\features\z_v\QMEgjkpyVzQ_001.pt
QOxIdbNwpx0_000,mosei_real,0,mosei_QOxIdbNwpx0_000,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QOxIdbNwpx0_000.mp4,data\preprocessed\features\z_at\QOxIdbNwpx0_000.pt,data\preprocessed\features\z_v\QOxIdbNwpx0_000.pt
QOxIdbNwpx0_002,mosei_real,0,mosei_QOxIdbNwpx0_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QOxIdbNwpx0_002.mp4,data\preprocessed\features\z_at\QOxIdbNwpx0_002.pt,data\preprocessed\features\z_v\QOxIdbNwpx0_002.pt
QOxIdbNwpx0_005,mosei_real,0,mosei_QOxIdbNwpx0_005,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QOxIdbNwpx0_005.mp4,data\preprocessed\features\z_at\QOxIdbNwpx0_005.pt,data\preprocessed\features\z_v\QOxIdbNwpx0_005.pt
QUpI5kMw_nA_002,mosei_real,0,mosei_QUpI5kMw_nA_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QUpI5kMw_nA_002.mp4,data\preprocessed\features\z_at\QUpI5kMw_nA_002.pt,data\preprocessed\features\z_v\QUpI5kMw_nA_002.pt
QWaUvAL-yiA_002,mosei_real,0,mosei_QWaUvAL-yiA_002,,,-1,1,1,1,D:\Documents\Programming\Thesis_G10\data\raw\CMU-MOSEI\segments\QWaUvAL-yiA_002.mp4,data\preprocessed\features\z_at\QWaUvAL-yiA_002.pt,data\preprocessed\features\z_v\QWaUvAL-yiA_002.pt
