clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
dev_dia0_utt0,meld_real,0,meld_Phoebe,sadness,sadness,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia0_utt0.mp4,data\preprocessed\features\z_at\dev_dia0_utt0.pt,data\preprocessed\features\z_v\dev_dia0_utt0.pt
dev_dia100_utt0,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia100_utt0.mp4,data\preprocessed\features\z_at\dev_dia100_utt0.pt,data\preprocessed\features\z_v\dev_dia100_utt0.pt
dev_dia103_utt3,meld_real,0,meld_Monica,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia103_utt3.mp4,data\preprocessed\features\z_at\dev_dia103_utt3.pt,data\preprocessed\features\z_v\dev_dia103_utt3.pt
dev_dia104_utt15,meld_real,0,meld_Chandler,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia104_utt15.mp4,data\preprocessed\features\z_at\dev_dia104_utt15.pt,data\preprocessed\features\z_v\dev_dia104_utt15.pt
dev_dia104_utt7,meld_real,0,meld_Chandler,joy,joy,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia104_utt7.mp4,data\preprocessed\features\z_at\dev_dia104_utt7.pt,data\preprocessed\features\z_v\dev_dia104_utt7.pt
dev_dia104_utt9,meld_real,0,meld_Chandler,fear,fear,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia104_utt9.mp4,data\preprocessed\features\z_at\dev_dia104_utt9.pt,data\preprocessed\features\z_v\dev_dia104_utt9.pt
dev_dia105_utt11,meld_real,0,meld_Monica,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia105_utt11.mp4,data\preprocessed\features\z_at\dev_dia105_utt11.pt,data\preprocessed\features\z_v\dev_dia105_utt11.pt
dev_dia105_utt2,meld_real,0,meld_Monica,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia105_utt2.mp4,data\preprocessed\features\z_at\dev_dia105_utt2.pt,data\preprocessed\features\z_v\dev_dia105_utt2.pt
dev_dia105_utt3,meld_real,0,meld_Monica,anger,anger,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia105_utt3.mp4,data\preprocessed\features\z_at\dev_dia105_utt3.pt,data\preprocessed\features\z_v\dev_dia105_utt3.pt
dev_dia106_utt1,meld_real,0,meld_Chandler,neutral,neutral,-1,1,1,1,data\raw\MELD\MELD-RAW\MELD.Raw\dev\dev_splits_complete\dia106_utt1.mp4,data\preprocessed\features\z_at\dev_dia106_utt1.pt,data\preprocessed\features\z_v\dev_dia106_utt1.pt
