clip_id,source_pipeline,fake_label,speaker_id,audio_emotion,visual_emotion,sarcasm_label,has_z_at,has_z_v,is_ready_for_training,video_path,z_at_path,z_v_path
FAKE_T2_1062_IWW_SAD_XX__AUDIO_1062_IWW_ANG_XX_wav2lip,track2,1,crema_1062,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_IWW_SAD_XX__AUDIO_1062_IWW_ANG_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_IWW_SAD_XX__AUDIO_1062_IWW_ANG_XX_wav2lip.pt
FAKE_T2_1062_MTI_NEU_XX__AUDIO_1062_MTI_SAD_XX_wav2lip,track2,1,crema_1062,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_MTI_NEU_XX__AUDIO_1062_MTI_SAD_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_MTI_NEU_XX__AUDIO_1062_MTI_SAD_XX_wav2lip.pt
FAKE_T2_1062_TAI_FEA_XX__AUDIO_1062_TAI_HAP_XX_wav2lip,track2,1,crema_1062,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_TAI_FEA_XX__AUDIO_1062_TAI_HAP_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_TAI_FEA_XX__AUDIO_1062_TAI_HAP_XX_wav2lip.pt
FAKE_T2_1062_TAI_HAP_XX__AUDIO_1062_TAI_NEU_XX_wav2lip,track2,1,crema_1062,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_TAI_HAP_XX__AUDIO_1062_TAI_NEU_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_TAI_HAP_XX__AUDIO_1062_TAI_NEU_XX_wav2lip.pt
FAKE_T2_1062_TIE_SAD_XX__AUDIO_1062_TIE_ANG_XX_wav2lip,track2,1,crema_1062,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_TIE_SAD_XX__AUDIO_1062_TIE_ANG_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_TIE_SAD_XX__AUDIO_1062_TIE_ANG_XX_wav2lip.pt
FAKE_T2_1062_TSI_DIS_XX__AUDIO_1062_TSI_FEA_XX_wav2lip,track2,1,crema_1062,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_TSI_DIS_XX__AUDIO_1062_TSI_FEA_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_TSI_DIS_XX__AUDIO_1062_TSI_FEA_XX_wav2lip.pt
FAKE_T2_1062_WSI_FEA_XX__AUDIO_1062_WSI_HAP_XX_wav2lip,track2,1,crema_1062,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1062_WSI_FEA_XX__AUDIO_1062_WSI_HAP_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1062_WSI_FEA_XX__AUDIO_1062_WSI_HAP_XX_wav2lip.pt
FAKE_T2_1064_DFA_SAD_XX__AUDIO_1064_DFA_ANG_XX_wav2lip,track2,1,crema_1064,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_DFA_SAD_XX__AUDIO_1064_DFA_ANG_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_DFA_SAD_XX__AUDIO_1064_DFA_ANG_XX_wav2lip.pt
FAKE_T2_1064_IEO_ANG_HI__AUDIO_1064_IEO_DIS_HI_wav2lip,track2,1,crema_1064,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IEO_ANG_HI__AUDIO_1064_IEO_DIS_HI_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IEO_ANG_HI__AUDIO_1064_IEO_DIS_HI_wav2lip.pt
FAKE_T2_1064_IEO_ANG_MD__AUDIO_1064_IEO_DIS_MD_wav2lip,track2,1,crema_1064,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IEO_ANG_MD__AUDIO_1064_IEO_DIS_MD_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IEO_ANG_MD__AUDIO_1064_IEO_DIS_MD_wav2lip.pt
FAKE_T2_1064_IEO_HAP_MD__AUDIO_1064_IEO_NEU_XX_wav2lip,track2,1,crema_1064,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IEO_HAP_MD__AUDIO_1064_IEO_NEU_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IEO_HAP_MD__AUDIO_1064_IEO_NEU_XX_wav2lip.pt
FAKE_T2_1064_IEO_NEU_XX__AUDIO_1064_IEO_SAD_HI_wav2lip,track2,1,crema_1064,SAD,NEU,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IEO_NEU_XX__AUDIO_1064_IEO_SAD_HI_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IEO_NEU_XX__AUDIO_1064_IEO_SAD_HI_wav2lip.pt
FAKE_T2_1064_IEO_SAD_HI__AUDIO_1064_IEO_ANG_HI_wav2lip,track2,1,crema_1064,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IEO_SAD_HI__AUDIO_1064_IEO_ANG_HI_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IEO_SAD_HI__AUDIO_1064_IEO_ANG_HI_wav2lip.pt
FAKE_T2_1064_IEO_SAD_LO__AUDIO_1064_IEO_ANG_LO_wav2lip,track2,1,crema_1064,ANG,SAD,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IEO_SAD_LO__AUDIO_1064_IEO_ANG_LO_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IEO_SAD_LO__AUDIO_1064_IEO_ANG_LO_wav2lip.pt
FAKE_T2_1064_IOM_DIS_XX__AUDIO_1064_IOM_FEA_XX_wav2lip,track2,1,crema_1064,FEA,DIS,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IOM_DIS_XX__AUDIO_1064_IOM_FEA_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IOM_DIS_XX__AUDIO_1064_IOM_FEA_XX_wav2lip.pt
FAKE_T2_1064_IOM_HAP_XX__AUDIO_1064_IOM_NEU_XX_wav2lip,track2,1,crema_1064,NEU,HAP,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_IOM_HAP_XX__AUDIO_1064_IOM_NEU_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_IOM_HAP_XX__AUDIO_1064_IOM_NEU_XX_wav2lip.pt
FAKE_T2_1064_ITH_ANG_XX__AUDIO_1064_ITH_DIS_XX_wav2lip,track2,1,crema_1064,DIS,ANG,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_ITH_ANG_XX__AUDIO_1064_ITH_DIS_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_ITH_ANG_XX__AUDIO_1064_ITH_DIS_XX_wav2lip.pt
FAKE_T2_1064_ITH_FEA_XX__AUDIO_1064_ITH_HAP_XX_wav2lip,track2,1,crema_1064,HAP,FEA,-1,1,1,1,,data\preprocessed\features\z_at\FAKE_T2_1064_ITH_FEA_XX__AUDIO_1064_ITH_HAP_XX_wav2lip.pt,data\preprocessed\features\z_v\FAKE_T2_1064_ITH_FEA_XX__AUDIO_1064_ITH_HAP_XX_wav2lip.pt
